id,title,author,year
1,"Karate Kid, The",Bobinette Rowston,2002
2,Breathing Room,Brion Iacopini,1955
3,Lion's Den (Leonera),Andi Gallatly,1962
4,Eat Pray Love,Lonnie Kapiloff,1992
5,Black Rose Ascension (Kurobara shôten),Alla Beeres,2056
6,Playing God,Dorothy Georgot,1950
7,Kung Fu Panda 2,Leon Beesey,1977
8,"My Mother's Castle (Château de ma mère, Le)",Josh McRory,1963
9,Broadcast News,Dido Northleigh,1962
10,Nobody Knows Anybody (Nadie conoce a nadie),Gennie Wraxall,1977
11,"Ronde, La",Ethelbert Attock,1954
12,Dragonfly,Emmeline Blanc,1975
13,"Ator, the Fighting Eagle (Ator l'invincibile)",Eveleen Pinchbeck,1981
14,Long Time Dead,Adolphus Copello,2049
15,Main Street,Ines Tayler,2056
16,Let's Not Keep in Touch!,Reuben Rounding,2034
17,Late Chrysanthemums (Bangiku),Remy Spatig,1989
18,"Last Mogul, The",Kamilah Everit,2057
19,"See You Tomorrow, Everyone",Christie Dunthorne,1999
20,Bachelorette,Eadie Marcos,2016
21,Attack of the 5 Ft. 2 Women (National Lampoon's Attack of the 5 Ft 2 Woman),Frannie Bercevelo,1965
22,"Laughing Woman, The (Frightened Woman, The) (Femina ridens)",Carmelia Oattes,2001
23,Blood: The Last Vampire,Delly Ottewill,1966
24,Lazybones,Hamnet Stanluck,2037
25,Casino,Meryl Lodwick,1950
26,Attack on the Iron Coast,Nancie Mobbs,2012
27,Now and Forever,Cherrita Witherby,2019
28,Volunteers,Olympia MacKibbon,1958
29,Come Drink with Me (Da zui xia),Hakim Smeal,2043
30,Forsaking All Others,Terri-jo Simpole,2041
31,Osmosis (Osmose),Silvie Gobeaux,2029
32,Dragonfly,Laina Cerro,1951
33,"Holy Mountain, The (Montaña sagrada, La)",Dana Bound,1957
34,"Shrink Is In, The",Essy Puleston,1966
35,Pajama Party,Henryetta Grayshan,2034
36,Made in Britain,Franklyn Ochterlonie,1979
37,Cure,Albie Gorman,2054
38,"Promotion, The",Gypsy Landes,2021
39,Wasteland,Dwayne Heeron,2014
40,Battle of the Year,Esmeralda Colleck,1988
